"","names.best_clu.cluster.","best_clu.cluster"
"1174","1174",3
"1175","1175",3
"1176","1176",3
"1177","1177",3
"1178","1178",3
"1179","1179",4
"1180","1180",4
"1181","1181",4
"1182","1182",4
"1183","1183",4
"1184","1184",4
"1185","1185",4
"1186","1186",4
"1187","1187",4
"1188","1188",4
"1189","1189",4
"1190","1190",4
"1191","1191",4
"1192","1192",4
"1193","1193",4
"1194","1194",4
"1195","1195",4
"1196","1196",4
"1197","1197",4
"1198","1198",4
"1199","1199",4
"1200","1200",4
"1201","1201",6
"1202","1202",4
"1203","1203",6
"1204","1204",2
"1205","1205",2
"1206","1206",2
"1207","1207",6
"1208","1208",4
"1209","1209",4
"1210","1210",4
"1211","1211",4
"1212","1212",4
"1213","1213",4
"1214","1214",2
"1215","1215",2
"1216","1216",6
"1217","1217",4
"1218","1218",6
"1219","1219",2
"1220","1220",2
"1221","1221",4
"1222","1222",2
"1223","1223",2
"1224","1224",2
"1225","1225",2
"1226","1226",2
"1227","1227",2
"1228","1228",6
"1229","1229",2
"1230","1230",6
"1231","1231",6
"1232","1232",2
"1233","1233",2
"1234","1234",2
"1235","1235",3
"1236","1236",3
"1237","1237",3
"1238","1238",3
"1239","1239",3
"1240","1240",3
"1241","1241",3
"1242","1242",4
"1243","1243",4
"1244","1244",4
"1245","1245",4
"1246","1246",4
"1247","1247",4
"1248","1248",4
"1249","1249",4
"1250","1250",4
"1251","1251",4
"1252","1252",4
"1253","1253",4
"1254","1254",4
"1255","1255",4
"1256","1256",5
"1257","1257",5
"1258","1258",5
"1259","1259",5
"1260","1260",5
"1261","1261",5
"1262","1262",5
"1263","1263",6
"1264","1264",2
"1265","1265",6
"1266","1266",5
"1267","1267",2
"1268","1268",6
"1269","1269",2
"1270","1270",3
"1271","1271",3
"1272","1272",3
"1273","1273",3
"1274","1274",3
"1275","1275",3
"1276","1276",3
"1277","1277",1
"1278","1278",1
"1279","1279",3
"1280","1280",1
"1281","1281",3
"1282","1282",1
"1283","1283",3
"1284","1284",1
"1285","1285",1
"1286","1286",1
"1287","1287",1
"1288","1288",1
"1289","1289",1
"1290","1290",5
"1291","1291",4
"1292","1292",4
"1293","1293",4
"1294","1294",4
"1295","1295",4
"1296","1296",4
"1297","1297",4
"1298","1298",3
"1299","1299",3
"1300","1300",3
"1301","1301",3
"1302","1302",3
"1303","1303",3
"1304","1304",3
"1305","1305",3
"1306","1306",3
"1307","1307",3
"1308","1308",3
"1309","1309",3
"1310","1310",3
"1311","1311",3
"1312","1312",3
"1313","1313",3
"1314","1314",3
"1315","1315",2
"1316","1316",2
"1317","1317",2
"1318","1318",2
"1319","1319",2
"1320","1320",2
"1321","1321",2
"1322","1322",2
"1323","1323",2
"1324","1324",2
"1325","1325",2
"1326","1326",2
"1327","1327",2
"1328","1328",2
"1329","1329",3
"1330","1330",3
"1331","1331",3
"1332","1332",3
"1333","1333",3
"1334","1334",3
"1335","1335",3
"1336","1336",4
"1337","1337",4
"1338","1338",4
"1339","1339",4
"1340","1340",4
"1341","1341",4
"1342","1342",4
"1343","1343",4
"1344","1344",4
"1345","1345",4
"1346","1346",4
"1347","1347",4
"1348","1348",4
"1349","1349",4
"1350","1350",5
"1351","1351",2
"1352","1352",2
"1353","1353",2
"1354","1354",2
"1355","1355",2
"1356","1356",2
"1357","1357",2
"1358","1358",2
"1359","1359",2
"1360","1360",2
"1361","1361",2
"1362","1362",2
"1363","1363",2
"1364","1364",2
"1365","1365",2
"1366","1366",2
"1367","1367",2
"1368","1368",2
"1369","1369",2
"1370","1370",2
"1371","1371",4
"1372","1372",6
"1373","1373",4
"1374","1374",6
"1375","1375",4
"1376","1376",4
"1377","1377",6
"1378","1378",2
"1379","1379",4
"1380","1380",4
"1381","1381",4
"1382","1382",4
"1383","1383",5
"1384","1384",5
"1385","1385",3
"1386","1386",3
"1387","1387",3
"1388","1388",3
"1389","1389",3
"1390","1390",3
"1391","1391",3
"1392","1392",4
"1393","1393",4
"1394","1394",4
"1395","1395",4
"1396","1396",4
"1397","1397",4
"1398","1398",4
"1399","1399",4
"1400","1400",4
"1401","1401",4
"1402","1402",4
"1403","1403",4
"1404","1404",4
"1405","1405",4
"1406","1406",4
"1407","1407",4
"1408","1408",4
"1409","1409",4
"1410","1410",5
"1411","1411",5
"1412","1412",5
"1413","1413",2
"1414","1414",2
"1415","1415",2
"1416","1416",2
"1417","1417",5
"1418","1418",5
"1419","1419",5
"1420","1420",2
"1421","1421",2
"1422","1422",2
"1423","1423",2
"1424","1424",2
"1425","1425",2
"1426","1426",5
"1427","1427",6
"1428","1428",6
"1429","1429",6
"1430","1430",6
"1431","1431",6
"1432","1432",6
